"age","per","haz","sex"
0,1990,0.00854,1
1,1990,7e-04,1
2,1990,0.00048,1
3,1990,0.00034,1
4,1990,0.00028,1
5,1990,0.00023,1
6,1990,0.00024,1
7,1990,0.00018,1
8,1990,0.00019,1
9,1990,2e-04,1
10,1990,0.00022,1
11,1990,2e-04,1
12,1990,0.00023,1
13,1990,0.00018,1
14,1990,0.00032,1
15,1990,0.00051,1
16,1990,0.00058,1
17,1990,0.00083,1
18,1990,0.00115,1
19,1990,0.00131,1
20,1990,0.00133,1
21,1990,0.00158,1
22,1990,0.00161,1
23,1990,0.00158,1
24,1990,0.00157,1
25,1990,0.00155,1
26,1990,0.00162,1
27,1990,0.00164,1
28,1990,0.0016,1
29,1990,0.0018,1
30,1990,0.00168,1
31,1990,0.00191,1
32,1990,0.00178,1
33,1990,0.00198,1
34,1990,0.00206,1
35,1990,0.00213,1
36,1990,0.0023,1
37,1990,0.0024,1
38,1990,0.00273,1
39,1990,0.00264,1
40,1990,0.00296,1
41,1990,0.00312,1
42,1990,0.00338,1
43,1990,0.00367,1
44,1990,0.00407,1
45,1990,0.00443,1
46,1990,0.00477,1
47,1990,0.00507,1
48,1990,0.00533,1
49,1990,0.0057,1
50,1990,0.00655,1
51,1990,0.00691,1
52,1990,0.00773,1
53,1990,0.00871,1
54,1990,0.00918,1
55,1990,0.01056,1
56,1990,0.01086,1
57,1990,0.01168,1
58,1990,0.01283,1
59,1990,0.01403,1
60,1990,0.01516,1
61,1990,0.01653,1
62,1990,0.0179,1
63,1990,0.01934,1
64,1990,0.02058,1
65,1990,0.02183,1
66,1990,0.02327,1
67,1990,0.0249,1
68,1990,0.02711,1
69,1990,0.02844,1
70,1990,0.03149,1
71,1990,0.0355,1
72,1990,0.03926,1
73,1990,0.04217,1
74,1990,0.04711,1
75,1990,0.05029,1
76,1990,0.0555,1
77,1990,0.06129,1
78,1990,0.06877,1
79,1990,0.07343,1
80,1990,0.08429,1
81,1990,0.09593,1
82,1990,0.1057,1
83,1990,0.11812,1
84,1990,0.13119,1
85,1990,0.14116,1
86,1990,0.1595,1
87,1990,0.17615,1
88,1990,0.1993,1
89,1990,0.2159,1
90,1990,0.23218,1
91,1990,0.25864,1
92,1990,0.27545,1
93,1990,0.31316,1
94,1990,0.33215,1
95,1990,0.35919,1
96,1990,0.3872,1
97,1990,0.41599,1
98,1990,0.44536,1
99,1990,0.47511,1
100,1990,0.50504,1
101,1990,0.53494,1
102,1990,0.56459,1
103,1990,0.59378,1
104,1990,0.62233,1
105,1990,0.65005,1
106,1990,0.67679,1
107,1990,0.70243,1
108,1990,0.72685,1
109,1990,0.74998,1
110,1990,NA,1
0,1991,0.00845,1
1,1991,0.00073,1
2,1991,0.00038,1
3,1991,0.00031,1
4,1991,0.00028,1
5,1991,0.00023,1
6,1991,0.00028,1
7,1991,2e-04,1
8,1991,2e-04,1
9,1991,0.00019,1
10,1991,0.00021,1
